code;new_category (pnns_groups_2)
6,42E+11;Canned foods
6,40811E+12;Canned foods
6,4104E+12;Canned foods
6,41572E+12;Canned foods
6,46867E+12;Canned foods
5,76523E+12;Canned foods
6,41571E+12;Canned foods
9,30046E+12;Canned foods
4,751E+12;Canned foods
6,41041E+12;Canned foods
7,3152E+12;Canned foods
6,41041E+12;Canned foods
7,34001E+12;Canned foods
7,34001E+12;Canned foods
5,00017E+12;Canned foods
6,41781E+12;Canned foods
8,0035E+12;Canned foods
6,40519E+12;Canned foods
24000001683;Canned foods
24000025528;Canned foods
24000124948;Canned foods
24000150817;Canned foods
20004132;Canned foods
3,08368E+12;Canned foods
80042556;Canned foods
8,00511E+12;Canned foods
20199876;Canned foods
20412111;Canned foods
8,41009E+12;Canned foods
24000024675;Canned foods
24000137139;Canned foods
6,4104E+12;Canned foods
4,05649E+12;Canned foods
6,41801E+12;Canned foods
6,41041E+12;Canned foods
6,41041E+12;Canned foods
6,41571E+12;Canned foods
6,41041E+12;Grains
4,05649E+12;Grains
6,40651E+12;Grains
6,41489E+12;Cheese
6,40843E+12;Cheese
6,40843E+12;Cheese
6,40843E+12;Cheese
7,31087E+12;Cheese
20886875;Cheese
7,31087E+12;Cheese
7,31087E+12;Cheese
7,31087E+12;Cheese
4,05649E+12;Cheese
6,40843E+12;Cheese
5,00016E+12;Chocolate products
6,4114E+12;Chocolate products
6,41645E+12;Chocolate products
6,41645E+12;Chocolate products
6,41645E+12;Chocolate products
6,42026E+12;Chocolate products
8,71768E+12;Chocolate products
6,41645E+12;Chocolate products
6,41645E+12;Chocolate products
6,41645E+12;Chocolate products
8,44529E+12;Chocolate products
8,44529E+12;Chocolate products
6,4114E+12;Chocolate products
8,44529E+12;Chocolate products
3,80002E+12;Chocolate products
6,4114E+12;Chocolate products
6,41645E+12;Chocolate products
6,41645E+12;Chocolate products
6,41645E+12;Chocolate products
6,41645E+12;Chocolate products
6,42026E+12;Chocolate products
6,41645E+12;Chocolate products
6,436E+12;Chocolate products
6,42026E+12;Chocolate products
6,42026E+12;Chocolate products
6,42026E+12;Chocolate products
7,34019E+12;Chocolate products
5,77454E+12;Chocolate products
6,4125E+12;Chocolate products
6,4125E+12;Chocolate products
6,41645E+12;Chocolate products
6,41645E+12;Chocolate products
6,42026E+12;Chocolate products
6,436E+12;Chocolate products
