code,product_name,quantity,packaging_en,brands_en,categories_en,origins_en,labels_en,countries_en,nutriscore_grade,pnns_groups_1,pnns_groups_2,food_groups_en,environmental_score_score,environmental_score_grade,main_category_en,carbon-footprint_100g,carbon-footprint-from-meat-or-fish_100g
8412877007075,"Taquitos de panceta","70 g","Plastic","Palcarsa","Meats and their products,Meats,Prepared meats,Pork and its products,Pork,Bacon","","No gluten,No lactose","Finland,Spain","e","Fish Meat Eggs","Processed meat","Fish‚ Meat‚ Eggs,Processed meat",,"","Bacon","",""
8412877008515,"Taquitos de chorizo","70 g","Plastic","Palcarsa","Meats and their products,Meats,Prepared meats,Cured sausages,Chorizo","","No gluten,Green Dot,No lactose","Finland,Spain","e","Fish Meat Eggs","Processed meat","Fish‚ Meat‚ Eggs,Processed meat",,"","Chorizo","",""
8710604788878,"Pasta snack pot creamy pesto","68g","Plastic,PP 5 - Polypropylene","Knorr","Meals,Pasta dishes,Instant pasta","","","Finland,Norway","unknown","Composite foods","One-dish meals","Composite foods,One-dish meals",,"","Instant pasta","",""
8715700415604,"Curry Mango Sauce","","Plastic","Haugen-gruppen-as","Condiments,Sauces,Meal sauces,Curry pastes,Curry sauces,Groceries","","No gluten","Bulgaria,Finland,Norway","d","Fat and sauces","Dressings and sauces","Fats and sauces,Dressings and sauces",,"","Groceries","",""
24000124955,"Peach Slices in Juices","415g","Steel-can","Del-monte","Plant-based foods and beverages,Plant-based foods,Canned foods,Canned plant-based foods,Canned fruits,Tinned-peaches-in-juice","","","Finland,United Kingdom","b","unknown","unknown","",,"unknown","Tinned-peaches-in-juice","",""
24000137139,"Pfirsich","470g","Metal,Canned","Del-monte","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Desserts,Canned plant-based foods,Fruits based foods,Canned fruits,Fruits in syrup","","","Belgium,Finland,France,Germany","b","Fruits and vegetables","Fruits","Fruits and vegetables,Fruits",,"unknown","Fruits in syrup","",""
655439007962,"2% BHA Body Smoothing Spot Exfoliant","210 ml, 7 fl oz","Tube","paula-s-choice","Open Beauty Facts","","","Denmark,Finland,France,Germany,Italy,Netherlands,Norway,Poland,Portugal,Romania,Spain,Sweden","unknown","unknown","unknown","",,"unknown","Open Beauty Facts","",""
734027974012,"Minced ginger","190 g","Glass","the-ginger-people","Plant-based foods and beverages,Plant-based foods,Condiments,Spices,Groceries","","Organic","Finland,France","not-applicable","unknown","unknown","",,"unknown","Groceries","",""
1602553810007,"Ekologisk Gurka Inlagd","185 g (330 g) / 370 ml","Jar-glass,Lid-metal","Ikea","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Vegetables based foods,Canned plant-based foods,Pickles,Canned vegetables,Plant-based pickles,Pickled vegetables,Pickled cucumbers,Gherkins","","Organic,EU Organic,Non-EU Agriculture,DE-ÖKO-001,EU Agriculture,EU/non-EU Agriculture,Made in Germany","Finland,France,Portugal,Spain,Sweden,United Kingdom","d","Salty snacks","Salty and fatty products","Salty snacks,Salty and fatty products",,"unknown","Gherkins","",""
20001674,"Deliziosa Salame","1050 g (3 x 350 g)","Cardboard,Non-corrugated cardboard,de:04","Trattoria-alfredo","Frozen foods,Meals,Pizzas pies and quiches,Pizzas,Frozen pizzas and pies,Frozen pizzas","","FSC,FSC Mix,Made in Germany","Finland,Germany","c","Composite foods","Pizza pies and quiches","Composite foods,Pizza pies and quiches",,"unknown","Frozen pizzas","",""
20006150,"Knäckebrot Wholegrain Rye Crispbread","250 g","Paper,Cardboard","rivercote","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Crispbreads","","Green Dot,pt:ecoponto-azul","Denmark,Finland,Germany,Italy,Portugal,Spain,Sweden,United Kingdom","c","Cereals and potatoes","Bread","Cereals and potatoes,Bread",,"unknown","Crispbreads","",""
20036850,"Cappucino","330ml","Bottle","milbona","Beverages and beverages preparations,Plant-based foods and beverages,Beverages,Dairies,Plant-based foods,Dairy drinks,Coffees,Coffee drinks,Sweetened beverages","","No GMOs,Sustainable farming,Ohne Gentechnik,Made in Germany,Nutriscore,Rainforest Alliance,UTZ Certified,UTZ Certified Cocoa","Finland,France,Germany","c","Beverages","Sweetened beverages","Beverages,Sweetened beverages",,"unknown","Sweetened beverages","",""
