,code,product_name,quantity,packaging_en,brands_en,categories_en,origins_en,labels_en,countries_en,nutriscore_grade,pnns_groups_1,pnns_groups_2,food_groups_en,environmental_score_score,environmental_score_grade,main_category_en,carbon-footprint_100g,carbon-footprint-from-meat-or-fish_100g
12476,6408430022175,Eila laktoositon luonnonjogurtti rasvaton asidofilus + bifido,1 L,fi:pahvi,Valio,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts",,fi:Sydänmerkki,Finland,a,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Yogurts,,
12477,6408430024858,Kreikkalainen jogurtti vadelma-granaattiomena,150 g,"Plastic,fi:alumiini",Valio,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Fermented dairy desserts with fruits,Yogurts,Fruit yogurts,Greek-style yogurts,Lactose-free yogurts",,"No lactose,fi:Hyvää Suomesta",Finland,c,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Lactose-free yogurts,,
12478,6408430028184,A+ mansikka-vadelma-jogurtti,750g,Cardboard,Valio,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts",,"No additives,No lactose,fi:Hyvää Suomesta,fi:eila",Finland,c,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Yogurts,,
12497,6408430408696,Valiojogurtti Thaimaa,200 g,Plastic,Valio,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Fermented dairy desserts with fruits,Yogurts,Fruit yogurts",,"fi:eila,fi:ruokaa-suomesta",Finland,a,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Fruit yogurts,,
12499,6408653126483,Hyvin sokeroimaton proteiinijuoma kaakao-banaani,250ml,Paper and cardboard / Plastic / Aluminium,Juustoportti,"Beverages,Dairies,Dairy drinks,Flavoured milks,Chocolate milks,Dietary supplements,Bodybuilding supplements,Protein shakes",,"Source of proteins,FSC,FSC Mix,High proteins,No added sugar,No lactose,Without sweeteners",Finland,b,Milk and dairy products,Milk and yogurt,"Beverages,Unsweetened beverages",,,Protein shakes,,
12531,6410405043801,Pirkka Rasvaton Juotava Mansikka-Jogurtti,500g,"Plastic,Hdpe-high-density-polyethylene,Pullo",Pirkka,"Beverages,Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Dairy drinks,Fermented dairy desserts,Fermented drinks,Yogurts,Fermented milk drinks,Drinkable-yogurts",,"Asidofilus,Bifidus",Finland,unknown,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Drinkable-yogurts,,
12542,6410405113177,Luomu suomalainen rasvaton maito,,"Elopak,Multilayer-composite,Pure-Pak,Pure-Pak Classic",Pirkka,"Dairies,Milks,Pasteurised milks",,"Organic,EU Organic,FI-EKO-201",Finland,b,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Pasteurised milks,,
12616,6413300024418,Vispikermaa Suomesta,2 dL,Elopak,Arla,"Dairies,Creams",,No lactose,Finland,d,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Creams,,
12707,6417781007274,Kevytmaito,"0,5 l","Multilayer-composite,Tetra Pak,Tetra Rex",Satamaito,"Dairies,Milks",,"Carbon Trust,FSC,FSC Mix",Finland,b,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Milks,,
12708,6417781007359,Täysmaito,1 L,"Cardboard,Paperboard",Satamaito,"Dairies,Milks,Pasteurised milks,Whole milks",,fi:Hyvää Suomesta,Finland,c,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Whole milks,,
12709,6417781007632,Laktoositon AB-piimä,1 L,"Multilayer-composite,Tetra Pak,Tetra Rex",Satamaito,"Beverages,Dairies,Fermented foods,Fermented milk products,Dairy drinks,Fermented drinks,Fermented milk drinks,Kefir",,"FSC,FSC Mix",Finland,unknown,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Kefir,,
12731,6419800121251,Palautusjuoma suklaa,330 ml,"Multilayer-composite,Tetra Pak","Teho-sport,Olvi,Maitomaa","Dairies,Milks,Dietary supplements,Bodybuilding supplements,Lactose-free milk,Protein shakes",,"No gluten,No artificial sweeteners,No lactose",Finland,c,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Protein shakes,,
12732,6419800121398,Palautusjuoma suklaa + kreatiini,"0,33 l","Multilayer-composite,Tetra Pak,Paper and cardboard / Plastic / Aluminium,Tetra Prisma Aseptic,84 C/PAP","Teho-sport,Olvi,Maitomaa","Beverages,Dairies,Dairy drinks,Dietary supplements,Bodybuilding supplements,Protein shakes",,No lactose,Finland,c,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Protein shakes,,
