,Barcode,Product name,Brand,Quantity,Packaging material,Origin,Label,Sale countries,Product group,Food group,Product main category,Environmental score,Environmental score grade,Carbon footprint 1kg,Sustainable footprint score
4170,6416453071605,Vihreitä kuulia suklaakonvehteja,Fazer,320 g,"Cardboard,Non-corrugated cardboard",Origin unknown,"EAC,fi:100-vastuullinen-kaakao",Finland,Sweets,"Sugary snacks,Sweets",Bonbons,No information available,No information available,2.95,70.7
4171,6416453071612,Pihlaja Suklaakonvehteja,Fazer,320g,"Plastic,Pet-polyethylene-terephthalate,Cardboard,Non-corrugated cardboard",Origin unknown,"Avainlippu,EAC",Finland,Chocolate products,"Sugary snacks,Sweets",Bonbons,No information available,No information available,2.95,70.7
4172,6416453071858,Omar Chocolate,Fazer,320g,"Cardboard,Non-corrugated cardboard",Origin unknown,EAC,Finland,Sweets,"Sugary snacks,Sweets",Bonbons,No information available,No information available,2.95,70.7
4173,6416453072107,Avec,Fazer,200g,"Cardboard,Non-corrugated cardboard",Origin unknown,EAC,Finland,Chocolate products,"Sugary snacks,Sweets",Chocolate candies,No information available,No information available,2.95,70.7
4174,6416453072336,Pätkis,Fazer,320g,"Cardboard,Non-corrugated cardboard",Origin unknown,EAC,Finland,Sweets,"Sugary snacks,Sweets",Bonbons,No information available,No information available,2.95,70.7
4175,6416453073043,Fasupala mansikka megapack,Fazer,500 g,Plastic,Origin unknown,Avainlippu,Finland,Biscuits and cakes,"Sugary snacks,Biscuits and cakes",Chocolate biscuity bars,No information available,No information available,2.5,75.2
4176,6416453073838,Fasupala Pätkis,Fazer,400g,"Plastic,Pp-polypropylene",Origin unknown,Avainlippu,Finland,Biscuits and cakes,"Sugary snacks,Biscuits and cakes",Stuffed waffles,No information available,No information available,2.5,75.2
4177,6416453074316,Domino Marianne,Fazer,350g,"Plastic,Box,Cardboard,Non-corrugated cardboard,Pp-polypropylene,Wrapper",Origin unknown,"Vegetarian,Vegan,Avainlippu,No lactose",Finland,Biscuits and cakes,"Sugary snacks,Biscuits and cakes",Chocolate sandwich cookies,No information available,No information available,2.5,75.2
4178,6416453432178,Remix Mad Fruit,Fazer,750g,"Plastic,Pp-polypropylene",Origin unknown,Avainlippu,Finland,Sweets,"Sugary snacks,Sweets",Candies,No information available,No information available,2.95,70.7
4179,6416453554214,Domino Piparkakku,Fazer,175g (13),"Plastic,Box,Cardboard,Non-corrugated cardboard,Pp-polypropylene,Wrapper",Origin unknown,Avainlippu,Finland,Biscuits and cakes,"Sugary snacks,Biscuits and cakes",Filled biscuits,No information available,No information available,2.5,75.2
